"TIV of arms exports from United States, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Finland,,,,,3,6,,,,,,,16,1,2,,,,1,,,,36,36,,150,344,391,536,761,467,,5,,,,,,9,9,11,2,,50,44,98,65,34,76,16,4,3173
France,4,13,13,20,14,13,193,193,193,43,,,,4,,,,84,117,87,26,814,312,18,5,5,3,82,137,92,68,66,18,16,78,2,2,,2,,54,22,38,51,17,17,32,54,46,54,52,3169
Gabon,,,,,,35,29,28,2,,,32,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,132
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,2,,,,,1,,,7,6,6,,30
Germany,1357,2213,557,1274,1634,1534,1301,969,622,28,104,190,256,248,258,108,293,320,382,641,678,648,650,524,383,189,164,60,543,75,73,99,42,22,88,51,9,9,262,319,255,35,25,43,46,5,5,3,2,7,13,19614
Ghana,,,7,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,8,,,,,,2,,,,2,2,,4,,,,,,,29
Greece,102,306,166,191,418,681,971,440,504,314,245,207,41,96,86,56,87,31,107,762,766,349,1396,361,195,529,102,645,984,274,259,242,177,1530,828,102,20,253,5,921,151,19,6,,61,92,22,25,32,87,,16244
Guatemala,,45,1,0,10,28,7,,,,1,38,16,0,7,0,2,0,0,0,0,0,,13,4,4,,,,,,,,,,,,,,,,,,,,,,,4,1,,183
Guyana,,,,,,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Haiti,,,,3,4,1,1,0,9,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Honduras,,,,2,,31,6,11,,9,13,13,29,12,17,9,66,13,44,17,,,,,,,,,,,,,,,,,,,0,,,0,0,,,2,,,1,,,296
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25,,4,18,4,,2,,,,,,,,83
India,1,2,2,1,1,1,1,,,,,,,,,,2,1,40,1,2,4,2,,7,,1,2,1,2,1,5,3,,,,82,87,3,1,53,202,139,984,1119,265,42,252,23,748,392,4473
Indonesia,19,86,5,46,71,,82,50,85,56,315,87,187,122,24,11,22,0,56,64,188,2,,2,2,2,17,22,7,23,3,2,4,9,4,4,10,16,12,,,0,35,84,150,83,94,246,90,21,90,2613
Iran,1123,1219,683,1368,2198,4079,4008,4461,2099,214,,,,,10,4,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21515
Iraq,,,,,,,,,,,,,,27,,9,9,30,125,,,,,,,,,,,,,,,,6,43,55,150,281,312,346,397,340,255,285,791,888,522,40,,,4913
Ireland,,,,,,,,3,3,0,3,0,,,,,11,,,,,,,,2,,,,,,,,,,,,1,3,3,,,,,,,,,,,,,28
Israel,775,1292,854,1906,1069,1392,1919,1088,1314,636,1204,1641,861,480,276,299,1178,1080,582,24,81,1200,1303,716,751,358,76,42,1273,691,88,100,322,105,839,1114,1110,809,663,136,44,59,107,65,116,222,507,506,510,513,441,34733
Italy,555,726,1350,767,786,738,438,245,418,455,325,105,175,234,204,131,139,126,128,75,94,141,126,166,144,91,149,267,6,,224,176,150,478,406,68,22,42,43,14,30,231,161,25,88,199,406,368,247,173,131,12986
Jamaica,,1,,13,7,4,1,,4,,,0,,,,5,3,,,4,,,,,,,,,10,5,,,,,,,,3,2,,1,,,,,0,0,,18,3,5,88
Japan,630,770,665,629,978,1644,1623,900,1012,942,1015,1287,1391,1617,1931,1846,1764,1853,1879,2151,2553,2849,2450,1993,975,1139,815,793,1446,1207,448,395,395,415,356,348,412,489,671,589,358,240,179,206,286,304,309,420,632,866,724,51787
Jordan,119,49,55,35,54,323,325,464,593,279,360,150,224,101,233,178,,11,5,8,16,,,1,5,19,75,77,248,5,22,21,15,102,37,5,8,169,32,15,6,24,38,39,54,58,86,132,73,144,4,5097
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,6,3,3,,,3,,3,,3,3,,,,43
Kenya,0,,,2,,,,,148,3,25,60,24,,,6,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,1,,,1,19,6,,4,12,317
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Kuwait,,58,,,2,4,16,321,327,7,19,,,141,64,76,31,6,,,5,41,896,664,18,392,1003,311,14,5,,,,19,,5,5,288,,1,37,36,22,52,681,291,130,56,62,7,,6113
Laos,27,1,14,43,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,11,14,,,,,,20,,11,22,,89
Lebanon,,6,6,,,1,1,,,,3,2,16,59,67,43,,,,,,,,,18,42,27,9,7,4,4,,,,,1,,,,16,10,,31,21,5,38,27,28,25,67,39,622
Lesotho,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5
Liberia,,0,1,,,,2,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Libya,224,,,,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,231
Libya GNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1
Libya HoR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,0,,,3
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,13,4,3,3,,,0,,,,,1,,,127,159
Luxembourg,,,,,1,,,,,,,,1,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,,,,,,,,,,,,,7
Madagascar,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Malawi,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Malaysia,,61,10,10,18,85,271,48,65,62,84,56,,21,4,129,94,,,,,29,,,51,181,,335,,7,,,9,31,10,1,13,14,,10,12,2,,6,10,4,10,4,,1,2,1760
Mali,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,9,4,,,,,,,,,,,,,,,,,,,,,,8,21
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,8,,,,23
Marshall Islands,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Mauritania,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,,21
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
Mexico,82,44,9,151,13,25,8,23,51,1,,70,246,3,,,9,114,77,54,26,18,6,150,54,,41,280,11,36,130,145,59,15,90,8,29,,23,27,26,89,49,36,25,191,224,143,4,,20,2936
Micronesia,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,2,17
Morocco,,1,,,108,93,100,253,162,97,71,424,114,147,,,18,2,36,56,29,43,,86,117,,34,137,,8,4,,,,,,20,,,3,33,444,431,45,9,47,277,435,333,28,7,4250
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,1,1,16,40,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
Myanmar,,22,4,,,53,3,7,14,,17,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,5,,,,,,,,,8
NATO**,,,,,,,,,,,,,1250,1250,1250,750,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,8,70,105,5103
