"TIV of arms exports from France, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
South Korea,,,6,,,3,3,3,8,5,10,5,5,,8,,8,1,,,5,,,20,20,20,20,33,128,123,80,80,80,87,80,27,163,186,172,160,2,,2,,,,15,35,,,,1600
Spain,31,203,191,124,54,404,78,54,214,284,293,265,294,474,15,200,220,20,120,155,111,15,30,30,101,34,15,49,22,32,46,27,22,,5,20,,37,26,1,25,14,,,30,30,59,73,116,21,33,4716
Sri Lanka,,,,,,,,,7,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,8,8,,,25
Sudan,,,,,,,,,,,0,8,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,7
Sweden,11,,,,,,,,,,,,3,,15,3,28,20,47,29,31,3,9,,7,7,,,,0,0,,,,,,,,,,,28,,7,21,9,13,9,7,7,,314
Switzerland,79,,25,33,6,,,,,,,,,24,,,,15,7,,,7,73,7,,,,,,,14,57,44,,,,,,,,,,,,,,,,,,,390
Syria,,,,,,,8,21,50,35,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,5,650,1833,1699,,,,,,5,50,,,,,,,,,,,,,,,,4242
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,32
Thailand,,,,,,,4,4,4,14,13,,,20,45,45,0,32,35,3,,,,,,,85,72,,,,6,,,,,,,,40,,,,4,4,30,15,,55,15,,542
Togo,1,1,,2,,9,15,,2,9,27,19,,,,,3,0,1,,,9,,,,,,,,,,,,,,,,,,,1,,,,14,,,,,1,1,115
Trinidad and Tobago,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Tunisia,44,,,4,6,12,,4,2,27,,11,39,,9,225,,0,,,4,,,,,,,0,,1,,,,,,,,,,,,,,,,,2,2,,,,392
Turkey,28,28,36,14,,,,1,,,,,15,16,,,,,1,1,1,1,1,25,50,124,123,34,125,163,156,170,189,15,,,,,,,,,,15,8,,,,,,3,1340
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,3
UAE,,,23,81,93,58,167,198,121,12,74,78,78,25,37,28,,,,544,337,103,,25,45,109,232,262,262,272,161,155,196,604,823,898,918,357,58,23,59,104,5,269,,170,204,183,,,50,8498
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,9
UNITA (Angola)*,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
United Kingdom,60,60,60,19,55,74,74,67,21,46,93,21,38,30,15,15,15,15,15,10,,,,,,,4,11,27,23,23,19,15,,,,,,,69,69,69,69,69,,,,,,,,1269
United States,30,6,9,7,5,,,63,63,63,63,63,63,53,10,86,96,106,92,57,48,68,64,45,15,48,24,,14,,,,,,,,20,39,23,72,54,55,67,78,65,53,65,65,48,32,64,2058
Unknown recipient(s),10,10,10,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Uruguay,,,,,,,,,,,,34,,,,1,,,,36,36,36,,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,,153
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38,28,,23,,,90
Venezuela,,,6,173,176,6,3,14,1,,0,0,,,,37,38,0,16,97,132,110,62,30,,,,,,29,29,5,5,,,,,,,,,,,,,,,,,,,970
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,15
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2
Yugoslavia,,,17,2,6,13,14,14,14,14,14,14,23,14,15,15,15,14,19,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237
Zimbabwe,,,,,,6,,1,,,,,,,,,,0,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1670,2241,2540,2845,2103,2203,2020,2694,3263,2972,3810,3745,3798,3440,2992,4034,3024,1786,1989,2292,1832,1218,1263,990,903,1027,1942,3281,3165,1818,1079,1418,1428,1401,2301,1826,1664,2366,1978,1889,870,1735,1029,1493,1656,2043,2088,2359,1784,3269,1995,110567
