"TIV of arms exports from Germany, 1970-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Lesotho,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,6
Libya,,,,,,1,1,2,2,,,,28,60,56,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,7,4,5,4,2,,32,4,11,,,,,,,,,,13,2,6,46,60,199
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,12,24
Malawi,,,,,,,2,,,2,4,,,,,,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Malaysia,,,5,15,,,90,45,,12,41,,22,88,321,1,,,,,,,,2,,3,,30,,46,,0,,,1,1,310,,20,311,310,,,6,7,13,26,16,3,3,3,1749
Malta,,,0,,,,,,,,,,,,,,,,,,,,12,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,18
Mauritania,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,27
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
Mexico,,,,,,,,,,,,,12,10,,,7,,,,,10,,,10,,,,,,,,,,,,,,,,,,,,,10,,,,,,59
Morocco,,,,,,,,,11,,,13,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,52
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,4,,,,,9
NATO**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,18,,,,,,,,,,,,,,,,,,,,36
Netherlands,298,302,298,,,14,22,120,120,140,,14,313,313,316,335,335,22,22,11,,6,14,23,20,6,,,,,,,25,63,15,15,50,94,50,83,14,,5,32,1,2,2,2,85,2,2,3602
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,,251,,,,,,,,,,,14,,,,,,,,,,5,522
Niger,1,11,,,,,,,2,1,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Nigeria,,,,,11,5,5,3,14,63,79,170,309,,10,51,49,,2,,,,,,,,13,,,,,,,,,,,,,,,,,,4,,4,,,,,793
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,9,,,,,,,,,,,,,,,,,,,,,16
Norway,86,86,,,,,,2,,12,14,,,,,,,,,115,230,230,143,94,15,11,,,3,3,,,,,,10,10,30,20,,3,2,1,2,,,,2,5,7,5,1141
Oman,,,,,,,,,,,,,,,4,,,35,0,,0,,,,,,,,,,,,,,,,,,,,,,,16,8,,,0,4,5,5,77
Pakistan,3,3,3,6,6,6,6,3,2,60,64,49,,,,,,,,,9,8,,,,,,2,,2,,,,,,,12,57,60,10,8,,,5,,,,,28,28,,437
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
Peru,,24,17,,148,148,,,,,148,148,148,154,5,,,,,7,,0,0,,,,,,,,24,,,,,,,,,13,,,,,,,,,,,,980
Philippines,,,,,6,,1,2,2,32,4,4,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,8,26,94
Poland,,,,,,,,,,,,,,,,,,,,,,24,43,,43,43,59,,,,,,56,263,138,,,,,,,,,,161,59,7,3,1,65,4,969
Portugal,243,,,,,,27,,9,,21,6,55,,6,,,,,4,40,733,,162,5,,,,,,,,,,,,,,,,550,,,,,,,,,,,1860
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,,,,,,,,,,,,,,,,,,75,264,80,37,0,22,493
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,42,36,37,6,,,,,,,,,,,,216
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4
Rwanda,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Saudi Arabia,,,,,,,,,2,2,1,3,3,1,,,,12,,59,,13,,,,,,,1,1,1,1,1,1,1,1,,,3,3,12,73,79,80,63,2,16,121,140,,,693
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,3,20
Sierra Leone,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Singapore,,,88,,88,44,44,,,,,,,,,,,,,,228,228,,,,,12,12,24,,,,,,,,,19,117,69,171,176,15,4,,,18,60,56,19,8,1498
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,38
Somalia,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
South Africa,,,,,,,,10,10,6,97,92,12,5,15,14,7,2,2,2,2,2,2,,,,,,,,,18,,,,225,550,781,253,5,,,,,,,,,,,,2108
South Korea,,,,,,,,,,,,2,4,12,9,30,31,19,27,62,38,19,20,177,168,165,273,163,60,176,183,162,22,30,33,35,24,296,381,417,40,68,49,27,325,29,336,502,307,303,401,5421
Spain,,1,,,,20,38,116,,,8,48,27,24,,,,,,,,8,15,8,,88,86,2,3,3,13,13,2,8,42,215,136,173,211,145,216,98,73,75,53,85,26,1,8,0,2,2090
Sudan,,,,,,,,,4,4,2,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2
Sweden,,,,85,128,170,128,,,,,,,,,3,8,19,,,1,1,1,1,237,35,35,126,142,157,134,117,33,14,,,3,,1,,,8,8,,,,44,29,,,,1667
Switzerland,,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,126,136,245,245,245,245,51,,,,2,4,4,4,4,3,13,41,29,13,2,11,34,13,13,,,5,10,10,,,,,1572
Taiwan,,,,,,,,,,,,,,,,,,,55,83,173,90,,,4,,,,,20,24,,,6,,,,,,60,60,60,,,4,,,,,,,638
Thailand,,,,,,,88,44,,6,28,,,11,5,,17,59,10,11,11,39,43,4,4,13,4,,,15,30,89,,,5,,,,,,1,1,9,11,1,27,46,6,32,18,,687
